code;location;registered;envelopes;valid;Unie H.A.V.E.L.;Radostné Česko;TOP 09;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;REALISTÉ;CESTA ODPOVĚDNÉ SPOLEČNOSTI;ANO 2011;Dobrá volba 2016;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Křesť.demokr.unie-Čs.str.lid.;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana zelených;SPORTOVCI;Komunistická str.Čech a Moravy;Česká strana národně sociální;Strana Práv Občanů;Referendum o Evropské unii;Česká pirátská strana;Občanská demokratická strana
529303;Benešov;13104;8485;8437;3;3;414;16;682;35;112;58;2;2577;3;624;10;6;11;314;21;802;109;17;597;5;10;6;948;1052
532568;Bernartice;191;148;148;0;0;3;0;20;4;0;3;0;39;0;17;0;0;0;37;0;6;1;0;7;0;0;0;7;4
530743;Bílkovice;170;121;118;0;0;2;0;9;2;0;0;0;47;1;15;0;0;0;6;0;8;0;0;18;0;0;0;3;7
532380;Blažejovice;96;80;77;1;0;0;0;8;0;3;0;0;29;0;5;0;0;0;6;0;3;0;0;11;0;0;0;5;6
532096;Borovnice;73;54;53;0;0;1;0;1;0;1;0;0;29;0;2;0;0;0;5;0;4;1;0;4;0;0;0;3;2
532924;Bukovany;598;393;393;0;0;11;4;30;0;6;1;0;127;0;20;0;0;0;8;4;53;8;1;20;0;0;1;49;50
529451;Bystřice;3490;2206;2200;3;0;96;4;211;12;11;9;2;826;1;187;6;1;1;72;1;158;25;5;136;0;5;1;223;204
532690;Ctiboř;106;83;83;0;0;2;0;5;0;1;0;0;35;0;5;0;0;0;11;0;4;2;0;4;0;0;0;11;3
529478;Čakov;93;71;71;0;0;8;0;10;0;2;0;0;15;0;6;0;0;0;6;0;8;0;0;3;0;0;0;6;7
529486;Čechtice;1140;750;744;1;2;35;2;44;6;15;8;1;226;0;54;1;0;0;81;3;50;5;2;75;1;4;0;58;70
529516;Čerčany;2195;1453;1443;0;1;107;1;98;11;15;12;0;424;1;97;1;0;1;52;9;126;22;3;66;1;3;1;191;200
529532;Červený Újezd;258;187;187;0;0;3;0;18;2;3;4;0;53;0;5;0;0;2;30;0;13;3;0;15;0;0;0;23;13
529541;Český Šternberk;129;82;82;0;0;8;0;17;0;1;0;0;25;0;3;0;0;0;3;0;6;1;0;3;0;0;0;6;9
529567;Čtyřkoly;539;403;400;0;1;39;0;38;2;11;4;0;91;0;20;0;2;0;11;1;43;1;0;15;0;3;0;46;72
532746;Děkanovice;49;40;40;0;0;0;0;8;0;0;0;0;13;0;2;0;0;0;11;0;0;0;0;3;0;0;0;3;0
529621;Divišov;1305;830;816;0;1;39;0;79;7;14;4;0;256;0;60;0;2;1;49;2;86;3;3;78;0;3;1;76;52
529648;Dolní Kralovice;727;445;445;0;0;9;0;26;2;9;0;0;150;0;45;0;0;0;30;1;24;8;2;66;0;1;1;47;24
532151;Drahňovice;70;58;57;0;0;3;0;9;0;1;1;0;18;0;1;0;0;0;5;1;2;1;0;1;0;0;0;6;8
532843;Dunice;55;38;38;0;0;1;0;1;0;0;0;0;10;0;6;0;0;0;4;0;3;0;0;3;0;0;0;5;5
529702;Heřmaničky;571;375;374;0;0;10;2;43;3;0;5;0;143;0;22;1;0;0;14;0;34;4;0;39;1;0;1;25;27
532932;Hradiště;24;19;19;0;0;0;0;1;0;1;1;0;10;0;0;0;0;0;2;0;0;0;0;1;0;0;0;3;0
529737;Hulice;237;173;173;0;0;4;0;13;0;2;0;0;70;0;11;0;0;0;6;1;11;1;1;20;0;1;0;12;20
529745;Hvězdonice;257;189;189;0;0;12;0;31;4;1;1;0;49;0;6;1;1;0;0;0;13;1;0;14;0;0;0;32;23
532886;Chářovice;145;114;112;0;0;0;0;5;1;4;0;0;37;1;11;1;0;1;0;1;15;0;0;17;0;0;0;10;8
532878;Chleby;46;33;32;0;0;0;0;3;1;0;0;0;10;0;0;0;0;0;1;0;9;1;0;2;0;0;0;2;3
532045;Chlístov;278;177;176;0;0;7;1;5;0;2;2;0;62;0;5;0;0;0;3;0;18;5;0;5;0;0;0;32;29
529770;Chlum;112;87;87;0;0;0;1;6;0;0;0;0;51;0;3;0;0;0;6;0;5;0;0;6;0;0;0;4;5
529788;Chmelná;112;95;95;0;0;4;0;5;1;0;0;0;23;0;8;0;0;0;33;0;4;1;1;0;0;0;0;11;4
529796;Chocerady;991;664;659;1;0;46;0;53;4;12;8;1;171;0;50;1;0;2;12;1;42;9;2;51;0;0;0;119;74
532606;Choratice;58;34;34;0;0;3;0;2;1;0;0;0;10;0;2;0;0;0;6;0;4;0;0;1;0;0;0;0;5
529818;Chotýšany;434;294;292;0;0;5;2;33;5;6;1;0;91;0;29;0;1;0;7;0;31;1;1;16;0;0;1;35;27
532037;Chrášťany;187;123;123;0;0;4;0;3;1;0;0;0;40;0;1;0;1;0;9;0;9;1;0;14;0;0;0;20;20
529842;Jankov;748;430;429;0;1;24;1;35;2;5;1;0;145;0;28;0;0;0;20;3;51;3;2;34;0;2;0;49;23
529851;Javorník;104;79;79;0;0;0;0;13;1;0;2;0;20;0;11;0;0;0;6;0;7;2;0;5;0;0;0;9;3
532134;Ješetice;106;68;67;0;0;1;0;15;0;1;0;0;19;0;4;0;0;0;5;0;6;0;0;6;0;0;1;7;2
531031;Kamberk;121;82;81;0;0;6;0;8;0;2;2;0;28;0;5;0;0;0;1;0;2;0;0;1;0;0;0;9;17
529907;Keblov;155;99;99;0;0;2;0;11;1;1;2;0;34;0;10;0;0;0;3;1;8;0;0;10;0;0;0;6;10
533084;Kladruby;245;183;182;0;0;11;0;16;1;4;2;0;47;0;9;0;0;0;19;1;15;1;0;17;0;1;0;24;14
529931;Kondrac;383;272;267;0;0;5;0;22;6;1;0;0;66;0;35;2;0;1;19;0;29;1;0;24;0;0;0;28;28
529940;Kozmice;241;171;170;0;0;11;1;11;5;2;0;0;60;0;12;0;0;0;5;1;6;2;0;13;0;1;0;19;21
529958;Krhanice;765;505;502;1;0;31;4;43;3;7;1;0;139;0;20;1;0;1;19;0;58;7;1;27;1;0;0;68;70
529974;Krňany;361;242;241;0;0;19;1;27;0;6;4;0;69;0;10;1;0;1;1;2;12;2;0;20;0;1;0;27;38
529991;Křečovice;632;451;448;1;0;28;2;24;5;0;2;1;141;0;24;0;1;0;37;1;47;8;1;40;0;0;0;55;30
530000;Křivsoudov;351;222;222;0;0;5;0;16;1;3;0;0;66;0;16;0;0;3;18;1;19;4;0;11;0;1;0;41;17
530026;Kuňovice;66;61;61;0;0;2;0;3;0;0;0;0;28;0;3;0;0;0;7;0;6;0;1;3;0;0;0;3;5
530051;Lešany;567;371;370;0;0;13;1;44;1;13;4;0;105;0;13;0;2;1;16;0;31;6;1;39;0;3;0;40;37
530069;Libež;156;107;107;0;0;0;0;15;0;2;1;0;42;0;10;2;0;0;8;0;3;0;1;15;0;0;0;3;5
532258;Litichovice;54;39;39;0;0;3;0;4;0;0;0;0;10;0;0;0;0;1;6;1;4;1;0;4;0;0;0;3;2
530093;Loket;456;351;350;0;0;19;1;39;4;6;1;0;88;0;31;0;0;0;45;0;16;2;0;28;0;0;0;46;24
530107;Louňovice pod Blaníkem;563;369;365;1;0;14;0;23;1;0;1;0;138;0;32;2;0;0;20;1;25;4;0;25;0;0;0;35;43
532193;Lštění;331;225;226;1;0;28;0;16;1;6;1;0;43;0;11;0;0;1;8;0;24;2;0;20;0;1;1;30;32
530115;Maršovice;602;421;419;0;0;23;2;36;2;4;3;0;131;0;23;0;0;0;24;1;35;11;0;43;0;0;0;55;26
530158;Mezno;297;203;201;0;0;3;1;14;1;11;3;0;57;0;18;0;0;0;9;0;19;0;2;24;0;1;0;18;20
530166;Miličín;728;449;449;1;0;23;0;35;6;3;1;0;176;0;27;0;0;1;21;1;44;6;0;28;1;0;2;40;33
530174;Miřetice;149;102;100;0;0;4;0;15;0;0;2;0;34;0;2;0;0;0;7;0;8;0;1;0;0;0;0;9;18
530191;Mnichovice;184;114;114;0;0;0;0;6;1;0;0;0;43;0;9;0;2;0;11;0;5;3;0;16;0;0;0;10;8
530204;Mrač;637;431;429;0;0;14;1;32;4;7;5;0;140;1;19;0;0;0;8;0;56;12;1;34;0;0;1;47;47
530212;Načeradec;881;512;509;0;1;14;3;43;1;6;2;0;182;0;28;1;1;1;34;1;42;2;2;52;0;0;0;51;42
530263;Nespeky;545;390;388;0;0;34;1;20;1;3;1;0;116;0;24;0;0;0;8;0;26;6;0;19;0;0;1;63;65
530298;Netvořice;899;575;573;0;0;23;4;53;1;10;0;0;189;1;42;1;1;0;8;1;46;6;0;60;0;1;2;60;64
530301;Neustupov;423;264;263;2;0;11;0;31;4;11;2;0;98;0;26;0;0;0;9;0;24;3;1;21;0;0;0;15;5
530310;Neveklov;2080;1238;1218;1;1;83;6;106;8;18;1;0;376;1;81;2;3;3;39;4;76;21;2;82;1;1;2;147;153
530344;Olbramovice;991;664;660;4;0;28;1;43;3;1;7;1;285;1;41;0;0;0;20;0;57;9;2;61;0;3;0;49;44
599395;Ostrov;52;32;30;0;0;0;0;3;0;0;1;0;10;0;0;0;0;1;1;0;3;0;0;4;0;0;0;5;2
530352;Ostředek;292;206;205;0;0;12;0;9;8;3;0;0;75;0;15;0;1;0;12;0;18;2;0;6;0;0;1;25;18
533076;Pavlovice;168;121;119;0;0;4;0;13;4;2;0;0;37;0;13;2;0;0;10;1;6;2;0;15;0;0;0;6;4
530409;Petroupim;243;161;161;0;0;5;0;6;2;0;1;0;61;0;13;2;1;0;2;3;22;3;0;6;0;0;0;13;21
532649;Popovice;233;157;155;0;0;3;0;19;1;1;0;0;51;0;15;0;0;0;5;0;10;2;0;18;0;0;1;16;13
530441;Poříčí nad Sázavou;987;671;669;0;0;54;0;69;3;9;2;0;211;2;46;0;0;0;20;0;63;7;2;24;0;3;1;51;102
530450;Postupice;1030;662;653;0;2;17;2;41;3;4;10;0;255;0;30;0;0;0;20;0;70;7;1;42;0;3;2;76;68
530476;Pravonín;447;290;289;0;0;6;0;34;0;9;6;0;95;0;19;0;0;0;11;0;22;2;0;30;0;0;0;29;26
530492;Přestavlky u Čerčan;296;222;221;1;0;15;1;10;4;1;0;0;82;0;13;1;0;0;7;0;10;2;0;10;0;1;0;24;39
530514;Psáře;113;69;69;0;0;3;0;8;0;1;0;0;13;0;5;0;0;0;6;0;7;1;1;7;0;0;0;7;10
538680;Pyšely;1399;1014;1008;1;0;73;0;70;7;18;7;1;223;0;60;0;1;3;27;0;135;16;0;40;0;2;3;146;175
530522;Rabyně;235;168;168;0;0;9;0;15;2;1;0;0;41;0;9;1;0;0;8;0;11;0;0;11;0;3;0;19;38
530531;Radošovice;296;184;183;1;0;10;0;11;2;6;1;0;38;0;8;1;0;0;33;0;20;0;1;16;0;0;0;16;19
530549;Rataje;140;104;104;0;0;3;0;12;2;0;0;0;28;0;10;0;0;0;12;0;10;2;0;11;0;0;0;6;8
532550;Ratměřice;238;156;155;0;1;12;3;10;0;1;1;0;41;0;7;0;0;0;4;0;35;2;0;10;0;0;0;10;18
538710;Řehenice;366;252;252;1;0;20;0;17;4;2;1;0;69;0;15;0;0;0;4;0;26;2;0;8;0;0;1;48;34
532941;Řimovice;180;108;108;0;0;6;0;15;1;1;0;0;27;0;5;0;0;0;9;0;8;1;0;10;0;0;0;18;7
534382;Sázava;3090;1881;1867;0;2;78;5;182;7;22;7;2;515;1;203;5;3;4;37;4;193;27;9;155;0;5;5;180;216
532231;Slověnice;31;22;22;0;0;0;0;4;0;0;0;0;8;0;1;0;0;0;2;0;0;0;0;3;0;0;0;1;3
530611;Smilkov;231;146;144;0;0;1;0;12;1;0;0;0;62;0;15;0;0;0;10;0;14;1;0;17;0;0;0;8;3
532436;Snět;89;64;64;0;0;1;0;6;0;0;0;0;21;0;3;0;0;0;8;0;2;0;0;1;0;0;0;11;11
530638;Soběhrdy;319;227;225;0;0;14;1;16;1;2;2;0;74;0;17;0;2;0;9;0;24;2;1;12;0;0;0;25;23
599387;Soutice;219;146;146;0;0;2;0;14;1;4;0;0;70;0;14;0;0;0;4;0;11;1;3;8;0;0;0;8;6
599379;Stranný;82;51;51;0;0;5;0;3;0;0;1;0;13;0;7;0;0;0;0;0;5;0;0;6;0;1;0;4;6
599361;Strojetice;103;77;76;0;0;4;0;6;2;1;1;0;23;0;8;0;0;0;3;1;7;1;0;10;0;0;0;8;1
530689;Struhařov;670;461;459;0;0;15;1;31;2;5;2;2;180;0;24;1;0;1;10;0;32;7;0;35;0;3;1;48;59
530701;Střezimíř;263;174;174;0;0;1;0;18;2;6;0;0;76;0;5;0;0;0;7;0;17;1;0;12;1;0;0;16;12
530719;Studený;82;54;54;0;0;0;0;1;0;0;0;0;18;1;3;1;0;0;5;0;8;0;0;7;0;0;0;2;8
532509;Šetějovice;48;38;38;0;0;1;0;4;0;0;0;0;15;0;4;0;0;0;5;0;4;0;0;1;0;0;0;1;3
530751;Tehov;249;165;165;0;0;8;0;26;2;0;1;0;56;0;21;0;0;0;7;0;13;1;0;15;0;1;0;11;3
530760;Teplýšovice;383;289;288;0;0;4;0;17;2;3;3;0;96;0;25;0;0;0;24;1;41;6;0;17;0;0;1;26;22
530778;Tichonice;179;137;137;1;0;5;0;13;0;5;0;0;50;0;14;0;1;0;2;0;5;0;6;9;0;0;0;10;16
532592;Tisem;184;128;128;0;0;6;0;19;0;1;0;0;42;0;15;0;0;0;3;0;12;3;0;7;0;0;0;12;8
532541;Tomice;105;75;75;0;0;0;1;12;0;2;0;0;26;0;4;0;1;0;13;0;2;0;0;8;0;0;0;2;4
530816;Trhový Štěpánov;1029;643;634;0;0;25;2;66;7;6;6;1;217;0;42;0;0;0;45;2;48;5;1;40;0;0;0;59;62
532304;Třebešice;82;68;68;0;0;3;0;3;0;1;0;0;14;0;3;0;0;0;2;0;8;1;0;5;0;0;0;15;13
530841;Týnec nad Sázavou;4550;2943;2922;3;4;104;20;272;33;36;9;0;999;1;175;5;0;5;55;8;272;33;4;265;0;12;5;307;295
532061;Václavice;455;290;289;0;0;5;2;21;1;13;4;0;85;0;27;0;0;0;10;1;41;0;1;12;0;3;1;32;30
530867;Veliš;270;189;189;0;0;8;0;25;2;1;0;0;71;0;9;0;0;1;23;1;16;0;2;15;0;0;0;6;9
530883;Vlašim;9453;5687;5644;2;2;216;8;610;32;61;30;8;1862;2;534;9;2;2;309;7;368;57;12;465;3;12;2;525;504
532614;Vodslivy;84;43;43;0;0;2;1;8;1;2;0;0;10;0;3;0;1;0;5;0;1;0;0;0;0;0;0;4;5
530891;Vojkov;427;250;249;0;1;7;0;16;1;1;3;1;90;1;23;1;0;0;14;0;15;2;0;23;2;0;0;27;21
530905;Votice;3676;2230;2219;1;1;90;3;187;15;34;10;0;779;0;196;4;7;2;74;4;182;15;4;167;1;4;0;231;208
530913;Vracovice;326;201;199;0;0;10;0;12;3;6;0;0;67;3;14;1;0;0;22;0;15;0;1;9;0;0;0;22;14
530921;Vranov;332;244;244;0;0;14;0;11;1;3;0;0;80;1;11;0;1;1;14;0;26;2;0;21;0;0;1;28;29
530948;Vrchotovy Janovice;785;492;488;0;0;19;1;52;6;3;3;0;174;0;39;1;1;1;12;2;49;7;1;38;0;1;0;54;24
532266;Všechlapy;84;65;64;0;0;7;0;6;0;0;0;0;11;0;4;0;0;0;1;0;6;0;0;5;0;0;0;7;17
513482;Vysoký Újezd;163;113;113;0;0;8;1;4;5;4;8;0;30;0;11;0;1;0;2;0;1;3;0;12;0;0;0;3;20
571415;Xaverov;49;36;36;0;0;0;0;1;0;0;0;0;3;0;6;0;0;0;4;0;10;0;0;4;0;0;0;5;3
531022;Zdislavice;462;320;318;0;0;10;1;22;1;7;6;0;120;0;23;1;0;0;24;0;25;2;0;34;0;0;0;24;18
531049;Zvěstov;303;178;178;0;0;6;0;15;2;4;1;0;65;0;16;0;0;0;10;0;21;1;0;6;0;1;0;10;20
